RANK,PLAYER,#,POS,#G,TEAM,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL
13,Kyler Murray,# 01,QB,17,ARZ,614,541,372,68.8,"3,851",7.1,21,11,82.1,77.9,81.8,66.8,27,4.7,16,2.4,7.4,75.9,10,2.6,10,3,24,180,30,16.7,2.84,40,207,93.5
14,Patrick Mahomes,# 15,QB,19,KC,770,664,447,67.3,"4,607",6.9,31,13,83.3,77.8,88.1,67.6,24,3.4,21,2.5,7.0,76.8,22,4.7,10,10,31,254,47,18.5,2.81,51,273,94.5
15,C.J. Stroud,# 07,QB,19,HST,702,593,377,63.6,"4,254",7.2,21,13,80.0,77.6,73.3,76.3,27,4.3,21,2.8,8.8,72.2,23,5.8,6,10,22,273,63,23.1,3.02,45,229,87.6
16,Russell Wilson,# 03,QB,12,PIT,426,365,234,64.1,"2,752",7.5,18,5,79.5,77.5,68.7,57.0,24,6.3,7,1.6,8.4,78.6,16,6.4,10,3,32,160,37,23.1,2.84,22,131,97.7
16,Sam Darnold,# 14,QB,18,MIN,672,585,386,66.0,"4,564",7.8,36,13,80.7,77.5,82.5,56.9,34,5.4,27,3.7,9.3,76.5,21,5.2,8,11,33,263,57,21.7,3.08,29,232,100.8
18,Brock Purdy,# 13,QB,15,SF,537,455,300,65.9,"3,864",8.5,20,12,82.4,76.3,90.2,63.7,15,3.1,17,3.0,9.0,74.1,17,5.4,9,2,11,200,31,15.5,2.99,44,199,96.1
18,Jared Goff,# 16,QB,18,DET,630,579,413,71.3,"4,942",8.5,38,15,78.8,76.3,66.4,64.1,19,3.2,21,3.2,7.2,79.0,8,1.9,8,5,27,208,33,15.9,2.68,15,260,108.2
20,Aaron Rodgers,# 08,QB,17,NYJ,643,584,368,63.0,"3,897",6.7,28,11,77.6,76.1,71.9,78.0,26,4.2,12,1.8,7.3,73.7,39,9.6,8,6,18,178,40,22.5,2.65,16,199,90.5
21,Nick Mullens,# 12,QB,2,MIN,2,2,2,100.0,38,19.0,0,0,76.1,75.5,60.5,69.1,0,0.0,0,0.0,12.0,100.0,0,0.0,0,0,0,1,0,0.0,2.15,0,2,118.8
22,Bryce Young,# 09,QB,14,CAR,450,384,234,60.9,"2,403",6.3,15,9,74.4,75.1,59.5,62.6,27,6.6,12,2.5,9.0,71.6,15,6.0,2,2,32,172,29,16.9,2.94,37,132,82.2
23,Jordan Love,# 10,QB,16,GB,492,458,288,62.9,"3,601",7.9,25,14,75.8,74.3,58.0,75.8,17,3.4,17,3.2,9.2,74.4,26,8.3,9,10,17,172,16,9.3,2.76,13,169,92.7
24,Trevor Lawrence,# 16,QB,10,JAX,317,284,172,60.6,"2,045",7.2,11,7,76.8,73.8,75.6,70.7,13,4.4,13,3.9,9.9,70.0,17,9.0,2,1,10,90,18,20.0,2.63,13,103,85.2
24,Bo Nix,# 10,QB,18,DEN,674,589,389,66.0,"3,919",6.7,30,12,78.3,73.8,81.2,91.6,23,3.7,13,1.8,7.9,76.7,29,6.9,16,4,23,194,26,13.4,2.98,53,204,93.3
26,Matthew Stafford,# 09,QB,18,LA,628,588,385,65.5,"4,295",7.3,24,8,74.7,73.3,57.0,58.5,26,4.2,25,3.7,8.3,73.2,16,4.0,12,9,18,200,35,17.5,2.62,4,205,95.0
27,Taylor Heinicke,# 08,QB,4,LAC,10,5,3,60.0,28,5.6,0,0,74.7,72.9,63.7,71.4,0,0.0,0,0.0,6.2,80.0,1,25.0,0,0,0,3,3,100.0,3.12,2,2,75.4
28,Hendon Hooker,# 02,QB,3,DET,11,9,6,66.7,62,6.9,0,0,74.1,72.8,63.8,74.1,0,0.0,0,0.0,5.6,77.8,1,14.3,0,0,0,5,1,20.0,2.82,1,3,86.3
29,Kirk Cousins,# 18,QB,14,ATL,485,453,303,66.9,"3,508",7.7,18,16,74.3,72.3,65.8,46.5,13,2.7,24,4.6,8.0,76.7,13,4.1,15,7,15,156,27,17.3,2.54,3,163,88.6
30,Kyle Allen,# 04,QB,1,PIT,1,1,1,100.0,19,19.0,0,0,73.2,71.6,-,60.4,0,0.0,0,0.0,13.0,100.0,0,0.0,0,0,0,0,0,,2.20,0,1,118.8
31,Jimmy Garoppolo,# 11,QB,1,LA,45,41,27,65.9,334,8.1,2,1,70.8,71.5,53.6,80.1,1,2.4,1,2.2,4.8,72.5,2,6.9,0,0,1,20,3,15.0,2.63,1,16,97.0
32,Jalen Hurts,# 01,QB,19,PHI,556,452,313,69.2,"3,629",8.0,23,6,81.6,71.0,91.1,56.4,22,4.6,19,3.2,8.1,80.4,12,3.7,9,2,36,223,51,22.9,3.23,48,198,104.7
33,Joe Flacco,# 15,QB,7,IND,270,248,162,65.3,"1,761",7.1,12,7,71.6,70.7,55.4,79.9,8,3.0,11,3.8,9.2,73.0,8,4.7,3,1,11,78,18,23.1,2.62,3,88,90.5
34,Tua Tagovailoa,# 01,QB,11,MIA,435,399,291,72.9,"2,867",7.2,19,7,70.2,70.2,51.3,39.5,11,2.6,12,2.6,6.1,79.8,14,4.6,6,0,9,100,21,21.0,2.30,7,166,101.4
35,Tanner McKee,# 16,QB,2,PHI,47,45,30,66.7,323,7.2,4,0,71.8,70.0,64.2,80.7,1,2.2,1,2.1,7.4,75.0,3,9.1,1,0,0,19,2,10.5,2.39,0,17,117.2
36,Jameis Winston,# 05,QB,9,CLV,329,296,181,61.1,"2,121",7.2,13,12,73.4,69.5,84.3,83.5,11,3.5,18,5.2,9.7,70.7,12,6.2,10,4,8,103,24,23.3,2.67,8,108,80.6
37,Daniel Jones,# 13,QB,10,MIN,389,341,216,63.3,"2,070",6.1,8,7,72.0,67.5,79.0,80.1,7,1.9,9,2.2,7.5,77.7,24,10.0,5,3,20,145,29,20.0,2.71,16,110,79.4
38,Andy Dalton,# 14,QB,6,CAR,175,160,106,66.3,989,6.2,7,6,68.1,67.4,58.0,58.2,6,3.6,8,4.3,7.0,77.5,11,9.4,3,0,6,50,7,14.0,2.54,6,52,82.0
39,Dak Prescott,# 04,QB,8,DAL,317,286,185,64.7,"1,978",6.9,11,8,67.9,67.2,59.6,56.0,14,4.5,16,4.7,8.3,72.4,9,4.6,6,4,6,98,21,21.4,2.63,6,88,86.0
40,Trey Lance,# 19,QB,3,DAL,47,41,25,61.0,266,6.5,0,1,64.4,65.8,55.5,81.8,0,0.0,1,2.0,7.8,68.4,1,3.8,1,1,1,15,4,26.7,2.90,2,14,69.8
41,Justin Fields,# 02,QB,8,PIT,197,162,106,65.4,"1,106",6.8,5,1,71.0,65.7,76.8,63.2,6,3.4,6,2.8,7.8,78.2,9,7.8,2,4,8,79,16,20.3,3.08,18,51,92.8
42,Malik Willis,# 02,QB,6,GB,71,54,40,74.1,550,10.2,3,0,70.3,65.3,71.2,52.5,2,3.4,1,1.3,7.5,83.0,4,9.1,0,0,1,23,8,34.8,2.97,8,24,124.8
43,Drake Maye,# 10,QB,13,NE,422,338,225,66.6,"2,276",6.7,15,10,70.1,64.9,82.9,48.6,14,3.7,16,3.5,7.4,74.6,7,3.0,4,5,17,158,34,21.5,2.82,45,132,88.1
44,Davis Mills,# 10,QB,4,HST,39,36,20,55.6,212,5.9,0,0,68.5,64.0,74.7,79.6,0,0.0,0,0.0,7.6,61.8,1,4.8,1,1,0,8,2,25.0,2.35,1,9,72.9
45,Caleb Williams,# 18,QB,17,CHI,682,562,351,62.5,"3,541",6.3,20,6,67.6,63.5,80.4,81.6,24,3.9,19,2.6,8.1,73.4,19,5.1,12,4,38,241,68,28.2,3.03,48,190,87.8
46,Deshaun Watson,# 04,QB,7,CLV,270,216,137,63.4,"1,148",5.3,5,3,63.1,63.4,57.6,56.9,8,3.5,5,1.7,7.1,76.8,15,9.9,2,6,10,118,33,28.0,3.05,21,54,79.0
47,Kenny Pickett,# 07,QB,5,PHI,51,43,25,58.1,291,6.8,2,1,65.7,63.0,66.0,82.9,3,6.3,2,3.5,8.9,70.3,1,3.8,2,2,2,20,4,20.0,2.84,3,12,84.5
48,Mac Jones,# 10,QB,10,JAX,290,262,171,65.3,"1,672",6.4,7,8,65.0,62.1,75.4,81.5,8,2.9,10,3.2,7.7,72.7,5,2.8,6,2,12,76,14,18.4,2.67,14,82,79.2
49,Tyson Bagent,# 17,QB,2,CHI,2,2,2,100.0,11,5.5,0,0,64.4,62.0,61.6,71.7,0,0.0,0,0.0,0.5,100.0,0,0.0,0,0,0,0,0,,1.50,0,1,89.6
50,Josh Johnson,# 17,QB,3,BLT,4,3,2,66.7,17,5.7,0,0,57.8,61.8,54.0,71.3,0,0.0,0,0.0,18.0,66.7,0,0.0,0,0,0,2,1,50.0,2.63,0,1,81.3
51,Gardner Minshew,# 15,QB,10,LV,346,306,203,66.3,"2,013",6.6,9,10,60.7,61.7,46.1,47.7,5,1.5,9,2.4,6.2,76.8,5,2.4,9,2,21,121,29,24.0,2.63,11,110,81.0
52,Tyler Huntley,# 18,QB,5,MIA,168,133,86,64.7,831,6.2,3,3,67.3,61.6,78.5,35.3,1,0.7,9,4.9,8.2,77.5,7,7.5,3,2,7,59,15,25.4,2.66,15,52,80.1
53,Clayton Tune,# 15,QB,1,ARZ,2,2,2,100.0,8,4.0,0,0,45.6,61.5,43.1,19.9,0,0.0,0,0.0,1.0,100.0,0,0.0,0,0,0,0,0,,1.30,0,0,83.3
53,Mason Rudolph,# 11,QB,8,TEN,256,228,146,64.0,"1,530",6.7,9,9,62.5,61.5,65.3,48.6,6,2.4,8,2.9,7.6,77.0,11,7.0,2,4,15,89,11,12.4,2.70,13,85,80.1
55,Joshua Dobbs,# 05,QB,2,SF,52,47,32,68.1,361,7.7,2,2,56.7,61.1,44.7,24.8,0,0.0,3,5.6,7.4,75.6,2,5.9,1,0,0,12,2,16.7,2.65,3,19,87.3
56,Kyle Trask,# 02,QB,1,TB,1,1,1,100.0,5,5.0,0,0,63.8,60.0,61.3,70.4,0,0.0,0,0.0,-3.0,100.0,0,0.0,0,0,0,0,0,,1.00,0,0,87.5
57,Anthony Richardson,# 05,QB,11,IND,299,264,126,47.7,"1,814",6.9,8,12,62.2,59.8,65.1,28.2,19,6.8,15,4.7,12.3,60.2,16,11.3,3,11,12,115,14,12.2,2.95,21,82,61.6
57,Cooper Rush,# 10,QB,11,DAL,326,308,187,60.7,"1,844",6.0,12,5,52.9,59.8,24.0,26.0,8,2.4,12,3.4,7.5,70.5,14,7.0,13,2,7,75,13,17.3,2.35,4,92,83.8
59,Jacoby Brissett,# 07,QB,7,NE,188,161,95,59.0,826,5.1,2,1,59.1,58.5,56.7,37.3,5,2.9,6,3.0,7.3,70.6,6,5.9,1,5,11,82,18,22.0,2.89,9,45,74.2
60,Aidan O'Connell,# 12,QB,9,LV,256,243,154,63.4,"1,612",6.6,8,4,61.2,58.2,74.6,66.8,12,4.6,10,3.6,8.3,71.3,5,3.1,4,4,11,83,10,12.0,2.74,3,80,86.7
61,Teddy Bridgewater,# 12,QB,1,DET,1,1,1,100.0,3,3.0,0,0,57.8,58.0,-,60.4,0,0.0,0,0.0,3.0,100.0,0,0.0,0,0,0,0,0,,2.50,0,1,79.2
62,Jake Haener,# 03,QB,6,NO,51,39,18,46.2,226,5.8,1,1,57.2,56.7,59.4,81.8,2,4.8,1,1.9,9.0,62.2,5,21.7,0,1,1,27,6,22.2,2.92,5,10,62.6
63,Will Levis,# 08,QB,12,TEN,362,301,190,63.1,"2,091",6.9,13,12,54.9,54.6,58.2,30.1,15,4.7,17,4.4,9.1,73.4,14,6.9,3,6,14,135,41,30.4,2.74,20,95,81.4
64,Tim Boyle,# 12,QB,3,NYG,55,50,27,54.0,276,5.5,1,1,54.8,54.0,62.4,81.8,2,3.6,3,4.9,7.7,64.4,2,6.9,1,0,3,18,2,11.1,2.36,2,12,68.4
65,Tommy DeVito,# 15,QB,2,NYG,55,44,31,70.5,257,5.8,0,0,51.3,52.2,53.5,82.3,0,0.0,1,1.6,5.8,78.0,1,3.1,0,0,3,20,6,30.0,2.59,4,16,85.1
66,Carson Wentz,# 11,QB,2,KC,25,19,12,63.2,118,6.2,0,0,50.7,51.1,57.9,77.1,0,0.0,0,0.0,5.2,66.7,0,0.0,0,1,0,13,4,30.8,2.61,1,5,80.6
67,Mitch Trubisky,# 11,QB,5,BUF,28,26,19,73.1,179,6.9,2,0,50.9,49.5,55.2,80.9,0,0.0,1,3.6,6.2,76.0,0,0.0,0,0,1,6,0,0.0,2.29,1,7,117.3
68,Spencer Rattler,# 18,QB,7,NO,264,228,130,57.0,"1,317",5.8,4,5,52.0,49.4,71.3,27.1,6,2.4,14,4.9,8.2,69.0,10,7.1,5,6,13,98,22,22.4,2.78,14,67,70.4
69,Desmond Ridder,# 10,QB,5,LV,102,85,52,61.2,458,5.4,2,2,45.7,49.0,47.3,29.9,4,4.5,5,4.8,7.9,72.0,2,3.7,1,3,5,45,10,22.2,2.72,6,25,73.6
70,Drew Lock,# 02,QB,7,NYG,204,181,107,59.1,"1,071",5.9,6,5,53.6,48.2,90.7,40.3,6,3.1,11,5.1,7.3,71.2,9,7.8,7,3,7,78,12,15.4,2.81,10,53,75.5
71,Mike White,# 14,QB,1,BUF,12,11,3,27.3,28,2.5,0,0,45.8,46.2,-,72.4,0,0.0,0,0.0,9.9,44.4,1,25.0,1,1,0,2,0,0.0,2.34,0,1,39.6
72,Brandon Allen,# 17,QB,2,SF,33,30,17,56.7,199,6.6,1,2,41.1,44.5,54.4,20.4,0,0.0,4,12.1,8.1,70.4,2,10.5,0,0,3,12,2,16.7,2.78,1,8,60.3
73,Bailey Zappe,# 02,QB,1,CLV,33,31,16,51.6,170,5.5,1,2,41.0,43.7,57.9,78.8,3,8.8,4,10.8,8.1,60.0,2,11.1,0,0,1,9,1,11.1,2.68,1,8,51.8
74,Skylar Thompson,# 19,QB,2,MIA,40,33,21,63.6,187,5.7,0,0,39.7,41.8,55.3,20.3,0,0.0,3,7.3,7.6,74.2,2,8.7,0,1,1,17,6,35.3,2.78,1,8,78.7
75,Dorian Thompson-Robinson,# 17,QB,6,CLV,133,118,61,51.7,440,3.7,0,6,45.3,39.3,73.1,29.0,1,0.8,7,4.9,5.7,67.0,8,11.6,2,1,12,44,8,18.2,2.75,6,23,39.5
76,Sam Howell,# 06,QB,1,SEA,19,14,5,35.7,24,1.7,0,1,27.0,27.6,58.3,74.8,0,0.0,2,10.5,6.6,46.2,1,16.7,0,1,0,12,4,33.3,3.12,1,1,14.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
