RANK,PLAYER,#,POS,#G,TEAM,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL
16,Carson Wentz,# 11,QB,1,LA,30,24,17,70.8,163,6.8,2,1,80.7,80.2,68.1,80.8,3,10.3,0,0.0,6.7,87.0,3,15.0,0,0,1,9,2,22.2,2.49,4,12,99.8
17,Jacoby Brissett,# 12,QB,2,WAS,25,23,18,78.3,224,9.7,3,0,84.6,79.4,75.0,77.4,1,3.7,0,0.0,9.0,86.4,1,5.3,0,0,1,8,0,0.0,2.83,2,10,146.8
18,Andy Dalton,# 14,QB,1,CAR,63,58,34,58.6,361,6.2,2,0,81.1,79.1,64.2,82.5,4,6.5,1,1.5,7.7,71.7,4,10.5,1,3,1,27,3,11.1,2.33,1,18,88.4
19,Trevor Lawrence,# 16,QB,16,JAX,645,564,370,65.6,"4,016",7.1,21,14,79.7,78.6,69.9,36.5,35,5.8,26,3.8,8.6,74.7,26,6.6,14,7,13,190,35,18.4,2.54,41,194,88.5
20,Joe Burrow,# 09,QB,10,CIN,403,365,244,66.8,"2,309",6.3,15,6,77.9,76.8,68.8,87.0,17,4.4,9,2.1,6.9,76.8,17,6.5,6,6,12,123,24,19.5,2.47,14,122,91.0
20,Derek Carr,# 04,QB,17,NO,588,548,375,68.4,"3,878",7.1,25,8,77.2,76.8,46.6,61.9,18,3.2,13,2.1,8.2,76.8,20,5.1,3,6,25,181,31,17.1,2.57,9,187,97.7
22,Sean Clifford,# 08,QB,1,GB,1,1,1,100.0,37,37.0,0,0,56.8,76.0,44.9,15.5,0,0.0,0,0.0,33.0,100.0,0,0.0,0,0,0,1,0,0.0,2.60,0,1,118.8
23,Baker Mayfield,# 06,QB,19,TB,728,643,412,64.1,"4,731",7.4,34,12,77.2,74.8,69.5,77.8,30,4.4,26,3.3,9.0,73.9,29,6.6,17,10,19,248,48,19.4,2.74,32,231,96.0
24,C.J. Beathard,# 03,QB,5,JAX,63,53,40,75.5,349,6.6,1,0,71.5,74.6,46.9,45.5,1,1.8,2,2.9,6.2,85.7,2,4.8,1,0,3,20,6,30.0,2.56,4,21,98.7
25,Jake Browning,# 06,QB,9,CIN,283,243,171,70.4,"1,936",8.0,12,7,79.3,74.4,87.8,54.6,9,3.5,11,3.7,6.6,79.6,9,5.0,7,3,7,102,24,23.5,2.84,16,100,98.4
26,Tyrod Taylor,# 02,QB,10,NYG,224,180,116,64.4,"1,341",7.5,5,3,71.4,73.4,54.5,44.1,17,8.9,3,1.2,9.1,76.7,9,7.2,1,0,10,87,17,19.5,2.83,26,57,89.1
27,Russell Wilson,# 03,QB,15,DEN,530,447,297,66.4,"3,075",6.9,26,8,77.5,72.5,80.3,28.9,27,5.6,17,3.0,7.8,78.8,18,5.7,11,5,27,218,45,20.6,3.07,36,150,98.0
28,Joe Flacco,# 15,QB,6,CLV,265,250,157,62.8,"1,923",7.7,14,10,72.8,70.6,69.1,65.4,11,4.2,11,4.0,9.1,72.5,12,7.1,1,2,14,88,12,13.6,2.78,2,75,88.5
29,Kenny Pickett,# 08,QB,12,PIT,363,324,201,62.0,"2,070",6.4,6,4,70.6,68.8,66.7,91.3,13,3.8,7,1.8,7.5,71.8,13,6.1,8,3,14,136,23,16.9,2.73,14,96,81.4
30,Kyler Murray,# 01,QB,8,ARZ,304,268,176,65.7,"1,799",6.7,10,5,70.8,67.6,77.8,59.7,8,2.8,6,1.8,7.5,73.5,10,5.4,9,2,3,95,18,18.9,2.80,16,96,89.4
31,Justin Fields,# 01,QB,13,CHI,457,370,227,61.4,"2,562",6.9,16,9,74.6,67.2,84.9,33.8,21,5.5,16,3.3,8.8,74.4,14,5.8,10,7,29,223,43,19.3,3.39,43,141,86.3
32,Deshaun Watson,# 04,QB,6,CLV,205,171,105,61.4,"1,115",6.5,7,4,67.3,66.8,63.4,38.5,6,3.3,4,1.8,9.2,72.6,9,7.9,2,3,8,77,16,20.8,3.13,18,58,84.3
33,Sam Darnold,# 14,QB,6,SF,55,46,28,60.9,297,6.5,2,1,66.0,66.5,57.8,22.9,1,2.0,2,3.4,8.7,69.8,2,6.7,0,1,1,25,6,24.0,2.73,3,16,85.1
34,Ryan Tannehill,# 17,QB,9,TEN,271,230,149,64.8,"1,616",7.0,4,7,68.7,66.3,69.7,70.5,10,4.0,11,3.8,8.4,76.1,13,8.0,5,3,7,106,32,30.2,2.67,9,77,78.5
35,Jimmy Garoppolo,# 10,QB,7,LV,191,169,110,65.1,"1,205",7.1,7,9,65.0,65.0,58.8,74.1,2,1.1,6,3.0,8.8,74.2,8,6.8,5,1,3,58,14,24.1,2.84,8,63,77.7
36,Mason Rudolph,# 02,QB,5,PIT,125,113,77,68.1,948,8.4,5,1,64.8,64.8,58.2,40.2,5,4.3,4,3.1,7.5,77.2,1,1.3,3,2,6,50,7,14.0,2.55,4,43,104.9
37,Tyler Huntley,# 02,QB,5,BLT,48,37,21,56.8,203,5.5,3,0,63.8,64.7,57.6,81.5,1,2.7,1,2.1,7.2,70.6,3,12.5,1,0,2,18,4,22.2,3.21,7,14,99.3
38,Aidan O'Connell,# 04,QB,11,LV,370,343,213,62.1,"2,218",6.5,12,7,65.9,64.6,61.6,72.1,12,3.4,10,2.6,8.0,74.0,20,8.6,8,3,16,122,24,19.7,2.62,0,107,83.9
39,Jaren Hall,# 16,QB,3,MIN,27,20,13,65.0,168,8.4,0,1,60.3,64.4,49.7,77.2,0,0.0,0,0.0,6.8,68.4,0,0.0,0,0,1,13,4,30.8,3.23,3,7,70.4
39,Tommy DeVito,# 15,QB,9,NYG,237,178,114,64.0,"1,101",6.2,8,3,62.0,64.4,50.9,77.3,4,2.2,5,2.1,6.6,78.3,12,9.5,4,1,12,99,37,37.4,3.09,22,48,89.2
41,Drew Lock,# 02,QB,4,SEA,85,76,48,63.2,543,7.1,3,3,61.3,62.2,56.4,52.5,2,2.5,5,5.5,8.5,75.0,6,11.1,3,0,1,31,6,19.4,2.56,3,20,81.2
42,Easton Stick,# 02,QB,5,LAC,198,174,111,63.8,"1,129",6.5,3,1,66.8,61.8,79.9,29.2,5,2.7,7,3.4,7.5,70.9,6,5.1,2,2,4,62,14,22.6,2.76,9,58,85.6
43,Will Levis,# 08,QB,9,TEN,292,255,149,58.4,"1,808",7.1,8,4,63.7,61.6,67.4,68.9,16,5.9,14,4.5,11.1,69.1,14,8.6,6,6,5,130,28,21.5,2.76,9,85,84.2
44,Tim Boyle,# 07,QB,3,NYJ,86,77,48,62.3,360,4.7,1,4,64.1,61.2,73.5,84.4,2,2.5,3,3.4,6.2,72.2,4,7.7,1,0,4,32,9,28.1,2.48,0,16,56.2
45,Gardner Minshew,# 10,QB,16,IND,546,490,305,62.2,"3,305",6.7,15,9,62.0,60.6,59.6,42.5,14,2.7,22,3.8,7.8,74.2,26,7.9,14,4,26,190,34,17.9,2.67,21,153,84.6
46,Joshua Dobbs,# 15,QB,13,MIN,485,417,262,62.8,"2,464",5.9,13,10,65.9,59.9,82.2,49.8,12,2.7,23,4.4,8.0,72.1,19,6.8,6,6,15,185,30,16.2,3.03,35,143,79.5
47,Nick Mullens,# 12,QB,5,MIN,165,148,100,67.6,"1,306",8.8,7,8,57.7,59.5,59.9,49.7,8,5.2,12,7.0,10.5,74.5,2,2.0,2,4,4,67,12,17.9,2.92,5,59,88.4
48,Jeff Driskel,# 12,QB,1,CLV,32,26,13,50.0,166,6.4,2,2,66.4,58.9,83.4,78.7,2,7.7,3,9.4,10.7,62.5,2,13.3,1,0,1,11,3,27.3,2.98,3,11,63.9
49,Jarrett Stidham,# 04,QB,2,DEN,77,66,40,60.6,496,7.5,2,1,55.5,58.5,45.0,51.9,0,0.0,1,1.2,7.7,70.5,3,7.0,0,1,4,28,7,25.0,2.76,3,19,87.7
50,A.J. McCarron,# 04,QB,2,CIN,6,5,4,80.0,19,3.8,0,0,59.0,58.4,-,69.6,0,0.0,0,0.0,-1.4,100.0,1,20.0,0,0,0,4,1,25.0,2.55,0,0,82.5
51,Sam Howell,# 14,QB,17,WAS,712,612,388,63.4,"3,945",6.4,21,21,60.2,57.6,71.5,81.3,30,4.7,31,4.1,7.7,75.0,28,6.7,17,6,34,277,65,23.5,2.84,33,193,78.9
52,Zach Wilson,# 02,QB,12,NYJ,439,368,221,60.1,"2,271",6.2,8,7,58.2,57.2,60.9,30.8,10,2.6,12,2.6,7.9,72.5,19,7.9,7,6,21,189,46,24.3,2.92,25,110,77.2
53,Anthony Richardson,# 05,QB,4,IND,98,84,50,59.5,577,6.9,3,1,52.2,56.5,45.3,23.6,3,3.3,4,3.7,8.0,71.1,4,7.4,3,2,3,31,7,22.6,2.86,7,33,87.3
54,Jameis Winston,# 02,QB,4,NO,49,47,25,53.2,264,5.6,2,3,56.3,55.8,61.3,81.5,3,6.0,3,5.8,12.7,60.0,2,7.4,0,0,2,15,2,13.3,2.41,0,10,57.4
55,Marcus Mariota,# 08,QB,2,PHI,29,23,15,65.2,164,7.1,1,1,66.3,55.6,80.7,27.4,1,4.3,2,6.9,8.1,71.4,0,0.0,2,0,0,9,3,33.3,3.01,3,12,82.5
56,Blaine Gabbert,# 09,QB,2,KC,40,35,18,51.4,185,5.3,0,3,60.7,54.6,74.8,79.8,0,0.0,2,4.9,5.9,68.8,4,18.2,2,0,1,18,1,5.6,2.41,4,10,31.2
56,Brian Hoyer,# 07,QB,2,LV,43,42,23,54.8,231,5.5,0,2,55.2,54.6,60.5,80.6,3,6.5,1,2.1,8.5,59.5,2,8.0,0,0,0,5,1,20.0,2.26,0,14,50.8
58,Daniel Jones,# 08,QB,6,NYG,209,160,108,67.5,909,5.7,2,6,63.0,54.4,82.2,45.3,4,2.4,9,4.1,6.9,75.2,4,3.6,3,2,6,95,30,31.6,2.85,19,51,70.5
59,Cooper Rush,# 10,QB,7,DAL,27,24,18,75.0,144,6.0,0,1,58.0,54.3,66.2,79.6,1,4.0,1,3.6,8.4,75.0,0,0.0,0,0,0,6,1,16.7,1.91,1,8,72.2
60,Desmond Ridder,# 09,QB,15,ATL,439,388,249,64.2,"2,836",7.3,12,12,51.9,53.2,48.8,27.6,13,3.2,26,5.6,8.5,72.7,15,5.7,8,0,15,139,31,22.3,2.68,19,146,83.4
61,Bryce Young,# 09,QB,16,CAR,622,527,315,59.8,"2,877",5.5,11,10,56.4,53.0,78.1,27.7,18,3.2,22,3.3,7.8,71.9,18,5.4,7,5,51,253,62,24.5,2.90,31,150,73.7
62,Mac Jones,# 10,QB,11,NE,379,345,224,64.9,"2,120",6.1,10,12,52.2,52.2,61.3,53.8,11,3.1,23,5.8,7.4,72.3,13,5.5,5,4,8,119,22,18.5,2.42,12,104,77.0
63,Bailey Zappe,# 04,QB,10,NE,247,212,127,59.9,"1,272",6.0,6,9,52.2,51.1,63.3,62.2,10,4.6,10,4.0,8.1,68.7,9,6.6,4,0,9,103,25,24.3,2.75,10,57,68.8
64,Tyson Bagent,# 17,QB,5,CHI,159,143,94,65.7,859,6.0,3,6,57.8,50.8,82.2,50.5,2,1.3,11,6.6,6.5,76.3,6,6.0,3,3,6,53,5,9.4,2.91,11,55,71.4
65,Dorian Thompson-Robinson,# 17,QB,6,CLV,123,112,60,53.6,440,3.9,1,4,49.7,49.4,56.6,36.0,0,0.0,5,3.8,6.1,68.0,8,11.8,3,2,5,39,6,15.4,2.67,5,27,51.2
66,Taylor Heinicke,# 04,QB,5,ATL,157,136,74,54.4,890,6.5,5,4,52.5,48.5,70.7,67.2,4,2.9,9,5.6,8.6,64.5,4,5.1,2,2,9,44,8,18.2,2.99,13,46,74.7
67,Malik Willis,# 07,QB,1,TEN,12,5,4,80.0,74,14.8,0,0,45.9,48.4,52.2,74.5,0,0.0,0,0.0,7.6,80.0,0,0.0,0,0,0,6,4,66.7,3.55,3,2,118.8
68,Brett Rypien,# 15,QB,2,NYJ,44,38,18,47.4,172,4.5,0,1,48.1,48.0,70.7,22.4,0,0.0,3,6.4,8.7,58.8,2,10.0,3,0,1,14,2,14.3,2.74,3,9,49.5
69,Davis Mills,# 10,QB,6,HST,43,40,19,47.5,179,4.5,2,0,48.3,46.3,68.2,80.5,0,0.0,4,8.9,7.9,60.5,4,17.4,1,0,1,17,2,11.8,2.67,1,12,77.0
70,Mike White,# 14,QB,4,MIA,6,6,5,83.3,74,12.3,1,1,52.5,46.2,60.3,73.9,1,16.7,1,16.7,3.7,83.3,0,0.0,0,0,0,0,0,,1.67,0,1,118.1
71,Case Keenum,# 18,QB,2,HST,59,53,34,64.2,291,5.5,1,3,44.8,45.6,54.0,82.5,0,0.0,4,5.9,7.9,68.6,1,2.9,0,0,2,19,6,31.6,2.73,0,14,61.1
72,Mitch Trubisky,# 10,QB,5,PIT,122,107,67,62.6,632,5.9,4,5,43.3,44.2,51.0,64.6,1,0.9,7,5.3,9.1,68.6,3,4.3,0,3,1,49,7,14.3,2.78,8,38,71.9
73,Aaron Rodgers,# 08,QB,1,NYJ,2,1,0,0.0,0,0.0,0,0,39.4,41.1,-,65.5,0,0.0,0,0.0,,,0,,0,0,1,2,1,50.0,4.15,0,0,39.6
74,Trevor Siemian,# 14,QB,5,NYJ,167,153,86,56.2,724,4.7,2,4,34.9,37.4,49.4,31.5,4,2.5,7,4.0,6.2,63.8,2,2.3,4,2,9,57,8,14.0,2.48,6,37,62.1
75,P.J. Walker,# 10,QB,5,CLV,126,111,54,48.6,674,6.1,1,5,29.7,28.8,63.3,26.9,4,3.4,11,8.1,8.7,59.4,6,10.0,2,2,5,52,11,21.2,2.79,4,28,52.2
76,Clayton Tune,# 15,QB,2,ARZ,33,21,12,57.1,62,3.0,0,2,34.2,28.0,65.6,78.8,0,0.0,3,8.6,3.2,73.7,2,14.3,2,0,0,17,7,41.2,2.95,5,4,22.6
77,Logan Woodside,# 11,QB,1,ATL,6,4,3,75.0,27,6.8,0,1,24.8,24.9,58.3,68.9,0,0.0,1,16.7,2.0,75.0,0,0.0,0,0,0,2,1,50.0,2.55,1,3,53.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
