Rk,Player,PPR,Day,G#,Week,Date,Age,Team,Home_Away,Opp,Result,Pos.,PFR_Id
56.0,Lamar Jackson,31.64,Sun,13,14,2023-12-10,26-337,BAL,Home,LAR,W 37-31 (OT),QB,JackLa00
57.0,Ja'Marr Chase,31.62,Mon,12,13,2023-12-04,23-278,CIN,Away,JAX,W 34-31 (OT),WR,ChasJa00
58.0,Adam Thielen,31.5,Sun,3,3,2023-09-24,33-033,CAR,Away,SEA,L 27-37,WR,ThieAd00
59.0,Jordan Addison,31.3,Mon,7,7,2023-10-23,21-269,MIN,Home,SFO,W 22-17,WR,AddiJo00
60.0,Puka Nacua,31.3,Sun,4,4,2023-10-01,22-125,LAR,Away,IND,W 29-23 (OT),WR,NacuPu00
61.0,Jared Goff,31.12,Sat,14,15,2023-12-16,29-063,DET,Home,DEN,W 42-17,QB,GoffJa00
62.0,Keenan Allen,31.1,Sun,2,2,2023-09-17,31-143,LAC,Away,TEN,L 24-27 (OT),WR,AlleKe00
63.0,Calvin Ridley,31.1,Sun,10,11,2023-11-19,28-334,JAX,Home,TEN,W 34-14,WR,RidlCa00
64.0,Sam Howell,30.98,Sun,8,8,2023-10-29,23-043,WAS,Home,PHI,L 31-38,QB,HoweSa00
65.0,Christian McCaffrey,30.9,Thu,11,12,2023-11-23,27-169,SFO,Away,SEA,W 31-13,RB,McCaCh01
66.0,D.J. Moore,30.9,Sun,16,17,2023-12-31,26-261,CHI,Home,ATL,W 37-17,WR,MoorD.00
67.0,C.J. Stroud,30.86,Sun,11,12,2023-11-26,22-054,HOU,Home,JAX,L 21-24,QB,StroCJ00
68.0,Daniel Jones,30.74,Sun,2,2,2023-09-17,26-113,NYG,Away,ARI,W 31-28,QB,JoneDa05
69.0,Tyreek Hill,30.7,Sun,3,3,2023-09-24,29-207,MIA,Home,DEN,W 70-20,WR,HillTy00
70.0,Tyreek Hill,30.6,Sun,10,11,2023-11-19,29-263,MIA,Home,LVR,W 20-13,WR,HillTy00
71.0,Kenneth Walker III,30.6,Sun,3,3,2023-09-24,22-339,SEA,Home,CAR,W 37-27,RB,WalkKe00
72.0,Amon-Ra St. Brown,30.5,Sun,9,10,2023-11-12,24-019,DET,Away,LAC,W 41-38,WR,StxxAm00
73.0,James Conner,30.4,Sun,17,18,2024-01-07,28-247,ARI,Home,SEA,L 20-21,RB,ConnJa00
74.0,T.J. Hockenson,30.4,Sun,10,10,2023-11-12,26-132,MIN,Home,NOR,W 27-19,TE,HockTJ00
75.0,Amon-Ra St. Brown,30.4,Sun,6,6,2023-10-15,23-356,DET,Away,TAM,W 20-6,WR,StxxAm00
76.0,Puka Nacua,30.1,Sun,2,2,2023-09-17,22-111,LAR,Home,SFO,L 23-30,WR,NacuPu00
77.0,Kyren Williams,30.1,Sun,16,17,2023-12-31,23-127,LAR,Away,NYG,W 26-25,RB,WillKy02
78.0,Saquon Barkley,30.0,Sun,11,11,2023-11-19,26-283,NYG,Away,WAS,W 31-19,RB,BarkSa00
79.0,Geno Smith,29.96,Thu,12,13,2023-11-30,33-051,SEA,Away,DAL,L 35-41,QB,SmitGe00
80.0,Jahmyr Gibbs,29.9,Mon,8,8,2023-10-30,21-224,DET,Home,LVR,W 26-14,RB,GibbJa01
81.0,Christian McCaffrey,29.8,Sun,8,8,2023-10-29,27-144,SFO,Home,CIN,L 17-31,RB,McCaCh01
82.0,A.J. Brown,29.7,Sun,7,7,2023-10-22,26-114,PHI,Home,MIA,W 31-17,WR,BrowAJ00
83.0,Joe Mixon,29.7,Mon,12,13,2023-12-04,27-133,CIN,Away,JAX,W 34-31 (OT),RB,MixoJo00
84.0,Tank Dell,29.6,Sun,8,9,2023-11-05,24-007,HOU,Home,TAM,W 39-37,WR,DellNa00
85.0,Anthony Richardson,29.6,Sun,4,4,2023-10-01,21-132,IND,Home,LAR,L 23-29 (OT),QB,RichAn03
86.0,Isiah Pacheco,29.5,Sun,16,17,2023-12-31,24-304,KAN,Home,CIN,W 25-17,RB,PachIs00
87.0,Brock Purdy,29.46,Sun,12,13,2023-12-03,23-341,SFO,Away,PHI,W 42-19,QB,PurdBr00
88.0,Gus Edwards,29.4,Sun,8,8,2023-10-29,28-199,BAL,Away,ARI,W 31-24,RB,EdwaGu00
89.0,Justin Herbert,29.3,Sun,3,3,2023-09-24,25-198,LAC,Away,MIN,W 28-24,QB,HerbJu00
90.0,Alvin Kamara,29.3,Thu,7,7,2023-10-19,28-086,NOR,Home,JAX,L 24-31,RB,KamaAl00
91.0,Mike Evans,29.2,Sun,12,13,2023-12-03,30-104,TAM,Home,CAR,W 21-18,WR,EvanMi00
92.0,Drake London,29.2,Sun,13,14,2023-12-10,22-139,ATL,Home,TAM,L 25-29,WR,LondDr00
93.0,Jordan Addison,29.1,Sat,14,15,2023-12-16,21-323,MIN,Away,CIN,L 24-27 (OT),WR,AddiJo00
94.0,Mike Evans,29.1,Sun,2,2,2023-09-17,30-027,TAM,Home,CHI,W 27-17,WR,EvanMi00
95.0,Jakobi Meyers,29.1,Sun,1,1,2023-09-10,26-305,LVR,Away,DEN,W 17-16,WR,MeyeJa01
96.0,Josh Allen,29.06,Thu,8,8,2023-10-26,27-158,BUF,Home,TAM,W 24-18,QB,AlleJo02
97.0,Baker Mayfield,29.04,Sun,14,15,2023-12-17,28-247,TAM,Away,GNB,W 34-20,QB,MayfBa00
98.0,Breece Hall,29.0,Sun,17,18,2024-01-07,22-221,NYJ,Away,NWE,W 17-3,RB,HallBr03
99.0,Sam LaPorta,29.0,Sun,12,13,2023-12-03,22-325,DET,Away,NOR,W 33-28,TE,LaPoSa01
100.0,Tank Dell,28.9,Sun,10,11,2023-11-19,24-021,HOU,Home,ARI,W 21-16,WR,DellNa00
101.0,Tee Higgins,28.9,Sun,2,2,2023-09-17,24-242,CIN,Home,BAL,L 24-27,WR,HiggTe00
102.0,Alvin Kamara,28.9,Sun,12,13,2023-12-03,28-131,NOR,Home,DET,L 28-33,RB,KamaAl00
103.0,Brian Robinson Jr.,28.9,Sun,2,2,2023-09-17,24-179,WAS,Away,DEN,W 35-33,RB,RobiBr01
104.0,Sam LaPorta,28.6,Sat,14,15,2023-12-16,22-338,DET,Home,DEN,W 42-17,TE,LaPoSa01
105.0,Amon-Ra St. Brown,28.6,Sun,15,16,2023-12-24,24-061,DET,Away,MIN,W 30-24,WR,StxxAm00
106.0,Kirk Cousins,28.56,Thu,2,2,2023-09-14,35-026,MIN,Away,PHI,L 28-34,QB,CousKi00
107.0,Adam Thielen,28.5,Sun,6,6,2023-10-15,33-054,CAR,Away,MIA,L 21-42,WR,ThieAd00
108.0,Jordan Love,28.44,Sun,16,17,2023-12-31,25-059,GNB,Away,MIN,W 33-10,QB,LoveJo03
109.0,Justin Herbert,28.42,Sun,9,10,2023-11-12,25-247,LAC,Home,DET,L 38-41,QB,HerbJu00
110.0,Breece Hall,28.4,Sun,5,5,2023-10-08,22-130,NYJ,Away,DEN,W 31-21,RB,HallBr03
111.0,Dak Prescott,28.36,Sun,8,9,2023-11-05,30-099,DAL,Away,PHI,L 23-28,QB,PresDa01
112.0,Tua Tagovailoa,28.36,Sun,3,3,2023-09-24,25-206,MIA,Home,DEN,W 70-20,QB,TagoTu00
113.0,Tyreek Hill,28.3,Sun,6,6,2023-10-15,29-228,MIA,Home,CAR,W 42-21,WR,HillTy00
114.0,Dak Prescott,28.26,Thu,12,13,2023-11-30,30-124,DAL,Home,SEA,W 41-35,QB,PresDa01
115.0,Jaylen Waddle,28.2,Sun,14,15,2023-12-17,25-022,MIA,Home,NYJ,W 30-0,WR,WaddJa00
116.0,Lamar Jackson,28.18,Sun,3,3,2023-09-24,26-260,BAL,Home,IND,L 19-22 (OT),QB,JackLa00
117.0,Lamar Jackson,28.14,Sun,4,4,2023-10-01,26-267,BAL,Away,CLE,W 28-3,QB,JackLa00
118.0,CeeDee Lamb,28.1,Sun,8,9,2023-11-05,24-211,DAL,Away,PHI,L 23-28,WR,LambCe00
119.0,Dak Prescott,28.06,Sun,7,8,2023-10-29,30-092,DAL,Home,LAR,W 43-20,QB,PresDa01
120.0,Kyren Williams,28.0,Sun,2,2,2023-09-17,23-022,LAR,Home,SFO,L 23-30,RB,WillKy02
121.0,Justin Fields,27.9,Sun,4,4,2023-10-01,24-210,CHI,Home,DEN,L 28-31,QB,FielJu00
122.0,Josh Jacobs,27.9,Sun,4,4,2023-10-01,25-232,LVR,Away,LAC,L 17-24,RB,JacoJo01
123.0,Justin Jefferson,27.9,Sun,3,3,2023-09-24,24-100,MIN,Home,LAC,L 24-28,WR,JeffJu00
124.0,Rachaad White,27.9,Sun,8,9,2023-11-05,24-297,TAM,Away,HOU,L 37-39,RB,WhitRa01
125.0,DJ Chark,27.8,Sun,15,16,2023-12-24,27-092,CAR,Home,GNB,L 30-33,WR,CharDJ00
126.0,Cooper Kupp,27.8,Sun,6,6,2023-10-15,30-122,LAR,Home,ARI,W 26-9,WR,KuppCo00
127.0,Josh Allen,27.76,Sun,5,5,2023-10-08,27-140,BUF,Home,JAX,L 20-25,QB,AlleJo02
128.0,George Kittle,27.7,Sun,5,5,2023-10-08,29-364,SFO,Home,DAL,W 42-10,TE,KittGe00
129.0,Brian Robinson Jr.,27.7,Sun,10,10,2023-11-12,24-235,WAS,Away,SEA,L 26-29,RB,RobiBr01
130.0,Adam Thielen,27.7,Sun,5,5,2023-10-08,33-047,CAR,Away,DET,L 24-42,WR,ThieAd00
131.0,Kyren Williams,27.7,Sun,4,4,2023-10-01,23-036,LAR,Away,IND,W 29-23 (OT),RB,WillKy02
132.0,Joe Burrow,27.62,Sun,7,8,2023-10-29,26-323,CIN,Away,SFO,W 31-17,QB,BurrJo01
133.0,Keenan Allen,27.6,Sun,10,11,2023-11-19,31-206,LAC,Away,GNB,L 20-23,WR,AlleKe00
134.0,Nico Collins,27.6,Sun,2,2,2023-09-17,24-182,HOU,Home,IND,L 20-31,WR,CollNi00
135.0,Mike Evans,27.6,Sun,15,16,2023-12-24,30-125,TAM,Home,JAX,W 30-12,WR,EvanMi00
136.0,Jahmyr Gibbs,27.6,Sun,7,7,2023-10-22,21-216,DET,Away,BAL,L 6-38,RB,GibbJa01
137.0,Breece Hall,27.6,Thu,16,17,2023-12-28,22-211,NYJ,Away,CLE,L 20-37,RB,HallBr03
138.0,Cole Kmet,27.6,Sun,4,4,2023-10-01,24-205,CHI,Home,DEN,L 28-31,TE,KmetCo00
139.0,Jonathan Taylor,27.6,Sat,17,18,2024-01-06,24-352,IND,Home,HOU,L 19-23,RB,TaylJo02
140.0,Christian Watson,27.6,Sun,12,13,2023-12-03,24-205,GNB,Home,KAN,W 27-19,WR,WatsCh00
141.0,Michael Pittman Jr.,27.5,Sun,12,13,2023-12-03,26-059,IND,Away,TEN,W 31-28 (OT),WR,PittMi01
142.0,Jared Goff,27.44,Sun,5,5,2023-10-08,28-359,DET,Home,CAR,W 42-24,QB,GoffJa00
143.0,Amon-Ra St. Brown,27.4,Sun,17,18,2024-01-07,24-075,DET,Home,MIN,W 30-20,WR,StxxAm00
144.0,Jalen Hurts,27.36,Sun,8,8,2023-10-29,25-083,PHI,Away,WAS,W 38-31,QB,HurtJa00
145.0,Jalen Hurts,27.32,Sun,5,5,2023-10-08,25-062,PHI,Away,LAR,W 23-14,QB,HurtJa00
146.0,Noah Brown,27.3,Sun,8,9,2023-11-05,27-303,HOU,Home,TAM,W 39-37,WR,BrowNo00
147.0,Bijan Robinson,27.3,Sun,11,12,2023-11-26,21-300,ATL,Home,NOR,W 24-15,RB,RobiBi01
148.0,Saquon Barkley,27.2,Sun,2,2,2023-09-17,26-220,NYG,Away,ARI,W 31-28,RB,BarkSa00
149.0,Derek Carr,27.16,Sun,17,18,2024-01-07,32-285,NOR,Home,ATL,W 48-17,QB,CarrDe02
150.0,Tua Tagovailoa,27.14,Sun,1,1,2023-09-10,25-192,MIA,Away,LAC,W 36-34,QB,TagoTu00
151.0,Gardner Minshew II,27.1,Sun,7,7,2023-10-22,27-159,IND,Home,CLE,L 38-39,QB,MinsGa00
152.0,D.J. Moore,27.1,Sun,4,4,2023-10-01,26-170,CHI,Home,DEN,L 28-31,WR,MoorD.00
153.0,David Njoku,27.1,Sun,13,14,2023-12-10,27-153,CLE,Home,JAX,W 31-27,TE,NjokDa00
154.0,D'Andre Swift,27.1,Thu,2,2,2023-09-14,24-243,PHI,Home,MIN,W 34-28,RB,SwifDA00
155.0,De'Von Achane,27.0,Sun,4,4,2023-10-01,21-353,MIA,Away,BUF,L 20-48,RB,AchaDe00
156.0,Ezekiel Elliott,27.0,Thu,13,14,2023-12-07,28-138,NWE,Away,PIT,W 21-18,RB,ElliEz00
157.0,Alvin Kamara,27.0,Sun,8,8,2023-10-29,28-096,NOR,Away,IND,W 38-27,RB,KamaAl00
158.0,Dalton Schultz,27.0,Sun,8,9,2023-11-05,27-117,HOU,Home,TAM,W 39-37,TE,SchuDa00
159.0,Jayden Reed,26.9,Sun,16,17,2023-12-31,23-247,GNB,Away,MIN,W 33-10,WR,ReedJa03
160.0,D.J. Moore,26.8,Sun,13,14,2023-12-10,26-240,CHI,Home,DET,W 28-13,WR,MoorD.00
161.0,Brock Purdy,26.72,Sun,10,11,2023-11-19,23-327,SFO,Home,TAM,W 27-14,QB,PurdBr00
162.0,Aaron Jones,26.7,Sun,1,1,2023-09-10,28-282,GNB,Away,CHI,W 38-20,RB,JoneAa00
163.0,Jake Browning,26.66,Mon,12,13,2023-12-04,27-237,CIN,Away,JAX,W 34-31 (OT),QB,BrowJa08
164.0,Will Levis,26.62,Sun,7,8,2023-10-29,24-124,TEN,Home,ATL,W 28-23,QB,LeviWi00
165.0,Jordan Love,26.62,Thu,11,12,2023-11-23,25-021,GNB,Away,DET,W 29-22,QB,LoveJo03
166.0,Brandon Aiyuk,26.6,Sun,10,11,2023-11-19,25-247,SFO,Home,TAM,W 27-14,WR,AiyuBr00
167.0,Breece Hall,26.6,Sun,13,14,2023-12-10,22-193,NYJ,Home,HOU,W 30-6,RB,HallBr03
168.0,George Pickens,26.6,Sun,5,5,2023-10-08,22-218,PIT,Home,BAL,W 17-10,WR,PickGe00
169.0,Michael Wilson,26.6,Sun,4,4,2023-10-01,23-220,ARI,Away,SFO,L 16-35,WR,WilsMi02
170.0,Justin Jefferson,26.5,Sun,4,4,2023-10-01,24-107,MIN,Away,CAR,W 21-13,WR,JeffJu00
171.0,Austin Ekeler,26.4,Sun,1,1,2023-09-10,28-116,LAC,Home,MIA,L 34-36,RB,EkelAu00
172.0,David Njoku,26.4,Sun,14,15,2023-12-17,27-160,CLE,Home,CHI,W 20-17,TE,NjokDa00
173.0,James Conner,26.3,Sun,16,17,2023-12-31,28-240,ARI,Away,PHI,W 35-31,RB,ConnJa00
174.0,Mike Evans,26.3,Sun,9,10,2023-11-12,30-083,TAM,Home,TEN,W 20-6,WR,EvanMi00
175.0,Stefon Diggs,26.2,Mon,1,1,2023-09-11,29-286,BUF,Away,NYJ,L 16-22 (OT),WR,DiggSt00
176.0,Jahmyr Gibbs,26.2,Sun,9,10,2023-11-12,21-237,DET,Away,LAC,W 41-38,RB,GibbJa01
177.0,Desmond Ridder,26.16,Sun,5,5,2023-10-08,24-038,ATL,Home,HOU,W 21-19,QB,RiddDe00
178.0,Carson Wentz,26.12,Sun,17,18,2024-01-07,31-008,LAR,Away,SFO,W 21-20,QB,WentCa00
179.0,Ja'Marr Chase,26.1,Mon,3,3,2023-09-25,23-208,CIN,Home,LAR,W 19-16,WR,ChasJa00
180.0,Jerome Ford,26.1,Thu,16,17,2023-12-28,24-107,CLE,Home,NYJ,W 37-20,RB,FordJe00
181.0,Justin Jefferson,26.1,Sun,15,16,2023-12-24,24-191,MIN,Home,DET,L 24-30,WR,JeffJu00
182.0,Terry McLaurin,26.1,Sun,14,15,2023-12-17,28-093,WAS,Away,LAR,L 20-28,WR,McLaTe00
183.0,Bijan Robinson,26.1,Sun,17,18,2024-01-07,21-342,ATL,Away,NOR,L 17-48,RB,RobiBi01
184.0,Brock Purdy,26.08,Sun,5,5,2023-10-08,23-285,SFO,Home,DAL,W 42-10,QB,PurdBr00
185.0,Aidan O'Connell,25.92,Thu,14,15,2023-12-14,25-104,LVR,Home,LAC,W 63-21,QB,OConAi00
186.0,Russell Wilson,25.92,Sun,2,2,2023-09-17,34-292,DEN,Home,WAS,L 33-35,QB,WilsRu00
187.0,Travis Etienne,25.9,Sun,8,8,2023-10-29,24-276,JAX,Away,PIT,W 20-10,RB,EtieTr00
188.0,Tyler Lockett,25.9,Sun,2,2,2023-09-17,30-354,SEA,Away,DET,W 37-31 (OT),WR,LockTy00
189.0,Christian McCaffrey,25.9,Sun,1,1,2023-09-10,27-095,SFO,Away,PIT,W 30-7,RB,McCaCh01
190.0,Isiah Pacheco,25.9,Sun,11,12,2023-11-26,24-269,KAN,Away,LVR,W 31-17,RB,PachIs00
191.0,Jalen Hurts,25.88,Sun,9,9,2023-11-05,25-090,PHI,Home,DAL,W 28-23,QB,HurtJa00
192.0,Travis Etienne,25.8,Sun,16,17,2023-12-31,24-339,JAX,Home,CAR,W 26-0,RB,EtieTr00
193.0,Tyreek Hill,25.8,Sun,7,7,2023-10-22,29-235,MIA,Away,PHI,L 17-31,WR,HillTy00
194.0,Calvin Ridley,25.8,Sun,15,16,2023-12-24,29-004,JAX,Away,TAM,L 12-30,WR,RidlCa00
195.0,Dallas Goedert,25.7,Sun,5,5,2023-10-08,28-278,PHI,Away,LAR,W 23-14,TE,GoedDa00
196.0,Justin Herbert,25.7,Sun,10,11,2023-11-19,25-254,LAC,Away,GNB,L 20-23,QB,HerbJu00
197.0,Raheem Mostert,25.7,Sun,2,2,2023-09-17,31-161,MIA,Away,NWE,W 24-17,RB,MostRa00
198.0,Kirk Cousins,25.68,Sun,3,3,2023-09-24,35-036,MIN,Home,LAC,L 24-28,QB,CousKi00
199.0,Patrick Mahomes,25.68,Sun,3,3,2023-09-24,28-007,KAN,Home,CHI,W 41-10,QB,MahoPa00
200.0,Brock Purdy,25.68,Sun,14,15,2023-12-17,23-355,SFO,Away,ARI,W 45-29,QB,PurdBr00
,T.J. Hockenson,25.6,Thu,2,2,2023-09-14,26-073,MIN,Away,PHI,L 28-34,TE,HockTJ00
,Tank Dell,25.5,Sun,3,3,2023-09-24,23-330,HOU,Away,JAX,W 37-17,WR,DellNa00
,Chris Godwin,25.5,Sun,14,15,2023-12-17,27-293,TAM,Away,GNB,W 34-20,WR,GodwCh00
,Cooper Kupp,25.5,Sun,13,14,2023-12-10,30-178,LAR,Away,BAL,L 31-37 (OT),WR,KuppCo00
,Trey McBride,25.5,Sun,8,8,2023-10-29,23-341,ARI,Home,BAL,L 24-31,TE,McBrTr01
,Sam Howell,25.42,Thu,5,5,2023-10-05,23-019,WAS,Home,CHI,L 20-40,QB,HoweSa00
,Tyreek Hill,25.4,Fri,11,12,2023-11-24,29-268,MIA,Away,NYJ,W 34-13,WR,HillTy00
,DeAndre Hopkins,25.4,Mon,13,14,2023-12-11,31-188,TEN,Away,MIA,W 28-27,WR,HopkDe00
,Desmond Ridder,25.38,Sun,13,14,2023-12-10,24-101,ATL,Home,TAM,L 25-29,QB,RiddDe00
,De'Von Achane,25.3,Sun,12,13,2023-12-03,22-051,MIA,Away,WAS,W 45-15,RB,AchaDe00
,CeeDee Lamb,25.3,Sun,2,2,2023-09-17,24-162,DAL,Home,NYJ,W 30-10,WR,LambCe00
,Joshua Dobbs,25.22,Sun,2,2,2023-09-17,28-234,ARI,Home,NYG,L 28-31,QB,DobbJo00
,Justin Fields,25.22,Sun,16,17,2023-12-31,24-301,CHI,Home,ATL,W 37-17,QB,FielJu00
,Jalen Hurts,25.22,Thu,2,2,2023-09-14,25-038,PHI,Home,MIN,W 34-28,QB,HurtJa00
,Ja'Marr Chase,25.2,Sun,7,8,2023-10-29,23-242,CIN,Away,SFO,W 31-17,WR,ChasJa00
,Tyreek Hill,25.2,Sun,8,8,2023-10-29,29-242,MIA,Home,NWE,W 31-17,WR,HillTy00
,CeeDee Lamb,25.2,Sun,15,16,2023-12-24,24-260,DAL,Away,MIA,L 20-22,WR,LambCe00
,Dak Prescott,25.16,Sun,17,18,2024-01-07,30-162,DAL,Away,WAS,W 38-10,QB,PresDa01
,Joshua Dobbs,25.12,Sun,10,10,2023-11-12,28-290,MIN,Home,NOR,W 27-19,QB,DobbJo00
,Trevor Lawrence,25.12,Mon,12,13,2023-12-04,24-059,JAX,Home,CIN,L 31-34 (OT),QB,LawrTr00
,James Cook,25.1,Sun,13,14,2023-12-10,24-076,BUF,Away,KAN,W 20-17,RB,CookJa01
,Cooper Kupp,25.1,Sun,14,15,2023-12-17,30-185,LAR,Home,WAS,W 28-20,WR,KuppCo00
,Christian McCaffrey,25.1,Mon,15,16,2023-12-25,27-201,SFO,Home,BAL,L 19-33,RB,McCaCh01
