YEAR,PFR_ID,Week,PPR,predicted_PPR
2024,DemeEm00,4,3.4,3.651196912274384
2024,DemeEm00,5,1.0,5.910055829442742
2024,DemeEm00,6,11.4,4.274508691657539
2024,DemeEm00,7,1.4,7.046977064625927
2024,DemeEm00,9,16.0,5.676006278845722
2024,DemeEm00,10,2.2,4.7249370730817795
2024,DemeEm00,12,1.4,5.313160629150271
2024,DemeEm00,13,2.5,5.426236737661414
2024,DemeEm00,14,5.5,5.905548359276992
2024,DobbJK00,1,22.9,8.566094456449255
2024,DobbJK00,2,20.1,18.421620875090742
2024,DobbJK00,3,8.4,12.625999127716813
2024,DobbJK00,4,9.2,10.335564764178088
2024,DobbJK00,6,18.2,10.791761069762842
2024,DobbJK00,7,9.6,13.86173050392239
2024,DobbJK00,8,16.8,11.118704226201658
2024,DobbJK00,9,24.5,10.775975576306195
2024,DobbJK00,10,8.5,13.096241824882748
2024,DobbJK00,11,18.9,12.269259741920758
2024,DobbJK00,12,8.9,11.9691000791133
2024,DobbJK00,17,15.3,16.066022690240157
2024,DobbJK00,18,10.5,13.317775290879995
2024,DowdRi01,1,4.2,8.205211241421248
2024,DowdRi01,2,9.9,5.862297916670983
2024,DowdRi01,3,8.6,7.1677329316410345
2024,DowdRi01,4,13.1,8.87422973760647
2024,DowdRi01,5,19.4,7.8150236787016265
2024,DowdRi01,6,10.5,8.00177906248009
2024,DowdRi01,9,21.7,9.485849214282103
2024,DowdRi01,10,8.6,8.297615067415078
2024,DowdRi01,11,5.4,9.187890822222963
2024,DowdRi01,12,10.8,9.785897992524632
2024,DowdRi01,13,21.3,10.486597117925792
2024,DowdRi01,14,15.1,10.976236828317036
2024,DowdRi01,15,14.9,14.47151734592277
2024,DowdRi01,16,8.1,11.235020280212526
2024,DowdRi01,17,9.8,9.26567955822164
2024,DowdRi01,18,16.4,11.075155842801845
2024,EdwaCl00,17,5.0,6.143244075508036
2024,EdwaCl00,18,5.0,5.433479882017399
2024,EdwaGu00,1,3.8,9.273811935690151
2024,EdwaGu00,2,5.9,8.960013181008472
2024,EdwaGu00,3,0.9,8.570856994195477
2024,EdwaGu00,4,1.9,7.492927067749202
2024,EdwaGu00,10,5.5,8.35909487474881
2024,EdwaGu00,11,2.7,7.1474181160673265
2024,EdwaGu00,12,7.1,7.123228846658274
2024,EdwaGu00,13,4.3,6.968426213585995
2024,EdwaGu00,14,9.6,5.679330894511872
2024,EdwaGu00,15,2.3,7.065560303456412
2024,EdwaGu00,16,20.1,6.167235902141991
2024,EkelAu00,1,10.2,10.054111085784388
2024,EkelAu00,2,11.5,9.51831379384681
2024,EkelAu00,3,13.7,9.344478673343326
2024,EkelAu00,5,11.7,11.521941123500833
2024,EkelAu00,6,10.8,8.039182697647185
2024,EkelAu00,7,4.0,12.030935479791166
2024,EkelAu00,8,7.8,9.896837951256703
2024,EkelAu00,9,17.3,9.178689621910628
2024,EkelAu00,10,18.1,10.208510056672715
2024,EkelAu00,11,17.6,8.626008642831723
2024,EkelAu00,12,4.4,10.523085631394189
2024,EkelAu00,18,5.2,10.021466951357075
2024,ElliEz00,1,12.9,9.11244098076278
2024,ElliEz00,2,5.2,8.541221143005782
2024,ElliEz00,3,2.2,10.424186374767638
2024,ElliEz00,4,3.4,9.7544821046377
2024,ElliEz00,5,1.7,8.650503860419478
2024,ElliEz00,6,1.7,7.804820329367344
2024,ElliEz00,8,10.8,7.1807149568703466
2024,ElliEz00,10,0.2,7.414848358469531
2024,ElliEz00,11,5.4,7.766122007357664
2024,ElliEz00,12,0.6,8.07052327801815
2024,ElliEz00,13,0.4,6.899777734681659
2024,ElliEz00,14,1.6,6.024152816543466
2024,ElliEz00,15,5.1,8.361969755247108
2024,ElliEz00,16,6.1,5.9693655582756495
2024,ElliEz00,17,0.2,5.960980196333164
2024,EtieTr00,1,11.9,13.277478665571603
2024,EtieTr00,2,14.8,14.830829980138299
2024,EtieTr00,3,12.5,17.006044428951533
2024,EtieTr00,4,7.0,13.264152479242979
2024,EtieTr00,5,12.0,14.273576211793591
2024,EtieTr00,9,5.0,13.013006976827421
2024,EtieTr00,10,5.3,13.818988514509785
2024,EtieTr00,11,6.3,12.944959921510653
2024,EtieTr00,13,8.8,11.394666899014569
2024,EtieTr00,14,11.0,13.109173112755764
2024,EtieTr00,15,12.5,12.19498935397216
2024,EtieTr00,16,5.7,12.65307651789714
2024,EtieTr00,17,8.5,11.934035897289823
2024,EtieTr00,18,9.0,13.253995153492886
2024,EvanDa02,14,0.3,6.583677208384946
2024,FordJe00,1,18.9,8.903892710951055
2024,FordJe00,2,7.4,11.25219527474084
2024,FordJe00,3,10.0,9.772451312982621
2024,FordJe00,4,15.5,9.765411270986817
2024,FordJe00,5,7.9,10.736637504363008
2024,FordJe00,6,1.4,9.565371093896685
2024,FordJe00,9,1.7,9.655534806708257
2024,FordJe00,11,7.9,9.428295073050757
2024,FordJe00,12,3.7,8.084326675507219
2024,FordJe00,13,7.2,8.640432470835634
2024,FordJe00,14,7.7,8.423295070569111
2024,FordJe00,15,18.4,8.210625921757924
2024,FordJe00,16,24.1,10.023289954385262
2024,FordJe00,17,2.2,8.670727594477388
2024,ForeDO00,2,6.1,2.0550695867497812
2024,ForeDO00,3,0.5,4.526965481199611
2024,ForeDO00,4,1.7,4.690014341498226
2024,ForeDO00,5,7.0,4.246492319557274
2024,ForeDO00,6,6.7,4.635286502157006
2024,ForeDO00,7,0.5,4.814626235819876
2024,ForeDO00,8,2.6,5.083051267288044
2024,ForeDO00,17,4.9,5.3596054347194
2024,ForeDO00,18,4.5,4.749624133278979
2024,GainKe00,1,2.2,6.925991685593955
2024,GainKe00,2,0.6,3.6723042228686738
2024,GainKe00,3,3.2,4.935973436463116
2024,GainKe00,4,0.9,5.585154219320474
2024,GainKe00,6,2.3,5.309752316014101
2024,GainKe00,7,7.7,5.551424743286363
2024,GainKe00,8,1.9,5.335899949363096
2024,GainKe00,9,2.0,5.08965556890376
2024,GainKe00,10,4.9,4.982316922658852
2024,GainKe00,11,5.9,4.994398891144654
2024,GainKe00,12,8.2,5.903735342530236
2024,GainKe00,14,5.3,7.553644589833271
2024,GainKe00,15,9.0,5.894928597082241
2024,GainKe00,16,2.3,5.622566790692067
2024,GainKe00,17,1.9,5.616265078323268
2024,GainKe00,18,4.3,5.9462867963912895
2024,GibbJa01,1,17.4,14.888916517213032
2024,GibbJa01,2,17.6,16.437461582973135
2024,GibbJa01,3,16.3,16.21008838472181
2024,GibbJa01,4,19.8,12.847397242486874
2024,GibbJa01,6,12.1,17.340720213572524
2024,GibbJa01,7,32.0,13.742237874238327
2024,GibbJa01,8,20.3,16.180022506329852
