RK,TIERS,best_rank,worst_rank,average_rank,rank_variance,ecr_adp_gap,POSITION_RANK,PFR_ID
151,10,79,199,136.4,33.9,0.0,50,BestJa00
152,10,117,199,152.0,23.1,57.0,20,MillHe00
153,10,113,196,147.7,21.6,58.0,21,DickEd00
154,10,116,181,149.7,17.6,-17.0,51,BlouLe00
155,10,81,197,150.4,33.5,-23.0,52,RoysEv00
156,10,83,197,145.6,31.8,-11.0,21,LockJa00
157,10,120,188,149.9,21.1,21.0,22,BennMa00
158,11,116,200,157.8,23.6,-25.0,22,DaltAn00
159,11,114,195,145.9,21.1,7.0,23,WinsKe01
160,11,121,196,159.5,22.5,-32.0,53,ThomDa03
161,11,103,199,153.5,27.4,47.0,24,KendLa00
162,11,114,199,160.5,25.6,63.0,54,ScotBe00
163,11,125,198,160.6,18.3,28.0,25,ClarDa00
164,11,118,196,158.4,23.8,-8.0,55,PeadIs00
165,11,135,191,165.8,12.9,36.0,62,SimpJe00
166,11,115,200,157.9,23.0,66.0,26,MoeaTo00
167,11,103,198,165.5,21.1,57.0,63,HankLe00
168,11,142,195,165.5,12.3,38.0,64,RandRu00
169,11,121,184,158.4,18.9,28.0,27,LewiMa00
170,11,115,196,165.8,21.0,-35.0,56,MendRa00
171,11,132,182,163.4,14.9,52.0,65,SandEm00
172,11,127,196,170.1,18.6,43.0,66,NelsDa01
173,11,138,199,169.2,15.9,47.0,67,HillSt00
174,11,119,199,155.6,25.5,,28,CaseJa00
175,11,143,198,172.7,15.1,67.0,68,JoneJa04
176,11,97,198,161.8,31.7,-19.0,57,HuntKe00
177,11,116,189,160.5,20.9,27.0,69,BrowVi00
178,11,130,193,170.9,16.2,77.0,70,RoyaEd00
179,11,117,200,165.7,20.4,-4.0,58,HighTi00
180,11,143,200,173.5,19.0,33.0,59,GreeAl00
181,11,127,188,158.9,19.1,106.0,29,DaviKe01
183,11,103,196,165.1,23.5,-21.0,23,WilsRu00
