#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
13.0,87.0,64.0,73.6,778,12.2,7.0,79.6,80.3,90.2,80.9,39.4,513.0,477.0,93.0,5.0,1.0,333.0,64.9,49.0,9.6,130.0,25.3,280.0,4.4,1.63,9.3,38.0,1.0,1.5,0.0,0.0,,4.0,0.0,1.0,45.0,108.3,GateAn00
16.0,94.0,62.0,66.0,811,13.1,5.0,79.5,80.1,58.7,80.5,68.1,594.0,426.0,71.7,150.0,25.3,67.0,11.3,25.0,4.2,482.0,81.1,498.0,8.0,1.9,7.1,73.0,6.0,8.8,0.0,0.0,,5.0,0.0,10.0,35.0,88.6,CeleBr00
15.0,100.0,63.0,63.0,928,14.7,9.0,80.4,79.6,90.0,45.4,,538.0,518.0,96.3,0.0,0.0,22.0,4.1,516.0,95.9,0.0,0.0,311.0,4.9,1.79,12.7,50.0,1.0,1.6,0.0,0.0,,3.0,1.0,12.0,49.0,110.8,BryaDe01
18.0,105.0,77.0,73.3,1084,14.1,10.0,81.1,78.8,69.7,24.1,51.1,621.0,516.0,83.1,78.0,12.6,132.0,21.3,33.0,5.3,446.0,71.8,454.0,5.9,2.1,10.3,73.0,5.0,6.1,0.0,0.0,,0.0,3.0,12.0,40.0,138.0,DaviVe00
14.0,103.0,71.0,68.9,989,13.9,9.0,77.9,78.4,70.2,81.5,,522.0,488.0,93.5,0.0,0.0,273.0,52.3,249.0,47.7,0.0,0.0,317.0,4.5,2.03,11.7,79.0,5.0,6.6,0.0,0.0,,2.0,0.0,6.0,46.0,120.6,JennGr00
14.0,72.0,52.0,72.2,627,12.1,8.0,79.0,78.2,73.9,79.8,,336.0,319.0,94.9,0.0,0.0,138.0,41.1,197.0,58.6,0.0,0.0,157.0,3.0,1.97,10.7,47.0,3.0,5.5,0.0,0.0,,0.0,0.0,0.0,35.0,135.6,MoorLa00
2.0,1.0,1.0,100.0,10,10.0,0.0,96.4,78.1,64.7,66.2,,2.0,1.0,50.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,13.0,13.0,10.0,-3.0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,108.3,BankBr00
14.0,43.0,38.0,88.4,389,10.2,6.0,74.8,77.9,90.0,41.7,44.6,287.0,240.0,83.6,36.0,12.5,163.0,56.8,9.0,3.1,110.0,38.3,161.0,4.2,1.62,6.6,31.0,0.0,0.0,0.0,0.0,,0.0,1.0,2.0,26.0,143.9,ChanSc00
15.0,106.0,64.0,60.4,975,15.2,4.0,77.9,77.6,47.3,46.3,,462.0,431.0,93.3,0.0,0.0,23.0,5.0,439.0,95.0,0.0,0.0,301.0,4.7,2.26,14.6,58.0,6.0,8.6,0.0,0.0,,4.0,1.0,8.0,45.0,87.6,HeywDa00
16.0,138.0,81.0,58.7,1214,15.0,6.0,77.1,77.5,29.2,53.0,,534.0,512.0,95.9,0.0,0.0,114.0,21.3,420.0,78.7,0.0,0.0,311.0,3.8,2.37,13.1,65.0,14.0,14.7,0.0,0.0,,3.0,1.0,9.0,54.0,93.1,MarsBr00
