#G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,OFF,PASS,RUN,FUM,BTT,BTT%,TWP,TWP%,ADOT,ADJ%,DRP,DRP%,BAT,HAT,TA,DPR,SK,P2S%,TTT,SCR,1ST,NFL,PFR_ID
2.0,47.0,37.0,21.0,56.8,225,6.1,0.0,1.0,58.8,54.9,69.8,80.0,0.0,0.0,0.0,0.0,8.4,65.6,0.0,0.0,0.0,0.0,5.0,17.0,5.0,29.4,3.28,5.0,14.0,63.5,McCaA.00
1.0,4.0,4.0,3.0,75.0,15,3.8,0.0,0.0,57.4,54.7,61.3,72.4,0.0,0.0,0.0,0.0,2.5,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8,0.0,1.0,80.2,BoylTi00
2.0,96.0,89.0,50.0,56.2,572,6.4,0.0,1.0,48.5,53.6,29.2,55.4,0.0,0.0,4.0,4.0,9.6,66.3,3.0,5.7,1.0,5.0,2.0,27.0,5.0,18.5,2.25,1.0,29.0,71.0,NewtCa00
10.0,308.0,283.0,176.0,62.2,1765,6.2,13.0,9.0,53.5,53.5,57.5,49.3,6.0,2.0,14.0,4.2,8.1,74.5,17.0,8.8,3.0,12.0,9.0,112.0,15.0,13.4,2.74,10.0,84.0,82.0,RudoMa00
2.0,10.0,10.0,6.0,60.0,56,5.6,1.0,0.0,30.7,52.6,29.0,8.6,1.0,10.0,1.0,10.0,12.7,66.7,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.8,0.0,3.0,108.8,GlenMi00
3.0,129.0,105.0,62.0,59.0,685,6.5,4.0,4.0,51.3,51.2,60.5,66.5,3.0,2.6,7.0,5.0,9.3,71.0,4.0,6.1,1.0,3.0,6.0,55.0,11.0,20.0,3.11,12.0,36.0,75.3,DrisJe00
13.0,555.0,489.0,303.0,62.0,3322,6.8,17.0,16.0,49.7,50.9,48.1,26.3,20.0,3.9,34.0,5.9,8.6,73.3,27.0,8.2,7.0,5.0,26.0,190.0,46.0,24.2,2.69,20.0,196.0,80.0,AlleKy00
2.0,65.0,62.0,35.0,56.5,351,5.7,0.0,1.0,49.0,49.5,58.3,45.0,1.0,1.4,3.0,4.1,9.3,66.7,5.0,12.5,2.0,0.0,0.0,16.0,2.0,12.5,2.55,1.0,14.0,66.0,RoetBe00
2.0,53.0,51.0,27.0,52.9,359,7.0,0.0,3.0,45.8,49.4,43.7,19.9,2.0,3.8,5.0,9.3,8.8,69.6,5.0,15.6,3.0,1.0,0.0,20.0,2.0,10.0,2.36,0.0,15.0,51.0,BarkMa00
8.0,183.0,160.0,100.0,62.5,1063,6.6,5.0,8.0,45.8,49.4,41.5,26.2,7.0,4.0,11.0,5.6,7.6,78.4,9.0,8.3,2.0,2.0,17.0,68.0,15.0,22.1,2.86,8.0,56.0,71.4,HodgDe00
1.0,8.0,6.0,3.0,50.0,3,0.5,0.0,0.0,42.8,47.7,-,71.9,0.0,0.0,0.0,0.0,5.2,60.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,50.0,3.15,0.0,0.0,56.3,SiemTr00
1.0,4.0,4.0,2.0,50.0,18,4.5,0.0,0.0,50.2,47.6,61.0,71.3,0.0,0.0,0.0,0.0,4.3,66.7,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.43,0.0,1.0,62.5,GrifRy01
5.0,128.0,109.0,58.0,53.2,567,5.2,1.0,5.0,46.0,47.1,48.2,62.9,4.0,3.4,9.0,6.6,8.5,65.3,8.0,12.1,6.0,1.0,1.0,51.0,16.0,31.4,2.66,3.0,26.0,52.0,RoseJo01
2.0,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,48.9,47.0,60.5,69.8,0.0,0.0,0.0,0.0,9.5,50.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,2.73,0.0,0.0,39.6,GilbGa01
3.0,98.0,84.0,39.0,46.4,515,6.1,3.0,2.0,48.7,47.0,67.9,85.8,2.0,2.2,3.0,2.9,8.9,60.0,3.0,7.1,2.0,0.0,12.0,35.0,9.0,25.7,2.65,5.0,22.0,68.3,AlleBr00
3.0,90.0,73.0,47.0,64.4,416,5.7,0.0,3.0,42.2,44.1,-,28.7,0.0,0.0,5.0,5.2,5.7,76.1,4.0,7.8,3.0,0.0,3.0,43.0,16.0,37.2,2.62,0.0,15.0,62.4,FalkLu00
1.0,35.0,27.0,18.0,66.7,119,4.4,0.0,1.0,44.7,43.1,63.4,20.5,1.0,3.4,3.0,8.1,6.7,76.0,1.0,5.3,1.0,0.0,1.0,14.0,6.0,42.9,2.76,2.0,6.0,60.6,McCoCo00
6.0,44.0,38.0,23.0,60.5,225,5.9,1.0,2.0,47.5,42.0,61.7,82.9,0.0,0.0,2.0,4.4,8.0,63.9,0.0,0.0,1.0,0.0,1.0,13.0,5.0,38.5,2.52,1.0,11.0,64.0,GrifRo01
2.0,63.0,52.0,28.0,53.8,228,4.4,0.0,4.0,29.0,30.2,44.6,54.2,0.0,0.0,6.0,9.4,9.0,61.7,1.0,3.4,1.0,1.0,3.0,25.0,6.0,24.0,2.88,5.0,14.0,33.2,GrieWi00
3.0,104.0,87.0,41.0,47.1,474,5.4,2.0,2.0,29.3,28.2,70.0,25.4,0.0,0.0,10.0,9.1,8.4,58.0,6.0,12.8,2.0,0.0,4.0,51.0,11.0,21.6,2.95,6.0,23.0,62.1,FinlRy00
2.0,5.0,4.0,2.0,50.0,14,3.5,0.0,1.0,27.2,26.3,60.0,70.2,0.0,0.0,1.0,20.0,4.3,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.4,0.0,1.0,18.8,StidJa00
